         2100186 function calls (2097893 primitive calls) in 1.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4007    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        8    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
      107    0.000    0.000    0.001    0.000 re.py:188(match)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
      254    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      314    0.000    0.000    0.001    0.000 function_base.py:443(_needs_add_docstring)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     1682    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       54    0.000    0.000    0.001    0.000 enum.py:88(__setitem__)
      568    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
     1748    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      618    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
       23    0.000    0.000    0.001    0.000 overrides.py:200(decorator)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
      342    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      382    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      610    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
      359    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      670    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      114    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       14    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       50    0.000    0.000    0.000    0.000 core.py:130(get_object_signature)
      119    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1575(_array_str_implementation)
     1098    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      151    0.000    0.000    0.000    0.000 __init__.py:84(find_spec)
      515    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      482    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        1    0.000    0.000    0.000    0.000 solution.py:14(parse)
        3    0.000    0.000    0.000    0.000 enum.py:545(<listcomp>)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
     1215    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
     1215    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
